Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Correlation (r),R²
KineticEnergy,Pressure,RainAbsolute,RainIntensity,WindSpeed,0.36534909636158974,0.13347996221223019
KineticEnergy,Pressure,RainAccumulated,RainIntensity,WindSpeed,0.36534909636158974,0.13347996221223019
KineticEnergy,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,0.36512101334923763,0.13331335438917416
AverageParticleSpeed,RainAbsolute,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3635202176238093,0.1321469486212617
AverageParticleSpeed,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3635202176238093,0.1321469486212617
AverageParticleSpeed,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,0.36352021762380915,0.13214694862126156
AverageParticleSpeed,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.36352021762380915,0.13214694862126156
RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36352021762380915,0.13214694862126156
RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36352021762380915,0.13214694862126156
Pressure,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,0.36333698777031304,0.1320137666820046
Pressure,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.36333698777031304,0.1320137666820046
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,SnowDepthIntensity,0.3633369877703128,0.13201376668200443
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,SnowDepthIntensity,0.3633369877703128,0.13201376668200443
Pressure,RainAbsolute,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3633369877703128,0.13201376668200443
Pressure,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3633369877703128,0.13201376668200443
AverageParticleSpeed,RainAbsolute,RainRate,Temperature,VolumeEquivalentDiameter,0.3632148649514649,0.13192503812171086
AverageParticleSpeed,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.3632148649514649,0.13192503812171086
AverageParticleSpeed,Pressure,RainAbsolute,RainRate,Temperature,0.36303524291982303,0.13179458760185492
AverageParticleSpeed,Pressure,RainAbsolute,Temperature,VolumeEquivalentDiameter,0.36303524291982303,0.13179458760185492
AverageParticleSpeed,Pressure,RainAccumulated,RainRate,Temperature,0.36303524291982303,0.13179458760185492
AverageParticleSpeed,Pressure,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.36303524291982303,0.13179458760185492
Pressure,RainAbsolute,RainRate,Temperature,VolumeEquivalentDiameter,0.36303524291982303,0.13179458760185492
Pressure,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.36303524291982303,0.13179458760185492
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainRate,SnowDepthIntensity,0.36267211301755975,0.13153106156062164
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainRate,SnowDepthIntensity,0.36267211301755975,0.13153106156062164
KineticEnergy,RainAbsolute,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36267211301755975,0.13153106156062164
