Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Correlation (r),R²
Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,WindSpeed,0.37316332796176577,0.13925086933550035
AverageParticleSpeed,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3723729124232641,0.1386615859065839
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainRate,Temperature,WindSpeed,0.3723729124232638,0.1386615859065837
RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3723729124232638,0.1386615859065837
Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,WindSpeed,0.37227222299400914,0.13858660801290126
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,Temperature,WindSpeed,0.372272222994009,0.13858660801290118
Pressure,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,WindSpeed,0.372272222994009,0.13858660801290118
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,WindSpeed,0.3721817569580185,0.13851926021235753
RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3721817569580185,0.13851926021235753
RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,WindSpeed,0.3721817569580184,0.1385192602123575
Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,WindSpeed,0.37207914281705945,0.13844288851947772
KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,WindSpeed,0.3717931187577494,0.13823012315561395
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,SnowDepthIntensity,WindSpeed,0.3717931187577492,0.13823012315561378
KineticEnergy,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3717931187577492,0.13823012315561378
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,WindSpeed,0.37168941900191654,0.13815302419798228
RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,WindSpeed,0.37138921624575066,0.13792994994363295
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,Temperature,WindSpeed,0.3713892162457502,0.1379299499436326
RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3713892162457502,0.1379299499436326
Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,WindSpeed,0.3712862568029408,0.1378534844907393
KineticEnergy,RainAbsolute,RainAccumulated,RainRate,Temperature,WindSpeed,0.37101657362644075,0.13765329790550412
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,Temperature,WindSpeed,0.37101657362644025,0.13765329790550376
KineticEnergy,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,WindSpeed,0.37101657362644025,0.13765329790550376
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,Temperature,WindSpeed,0.37091257752056866,0.13757614016295186
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,WindSpeed,0.37065455290629684,0.1373847975901668
AverageParticleSpeed,Pressure,RainAbsolute,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3701388756395037,0.137002787259676
AverageParticleSpeed,Pressure,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3701388756395037,0.137002787259676
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,Temperature,WindSpeed,0.36997265702768795,0.1368797669481272
AverageParticleSpeed,RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.36862872538600233,0.1358871371797087
AverageParticleSpeed,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.36862872538600233,0.1358871371797087
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.3682889441037965,0.13563674634908932
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.3682889441037965,0.13563674634908932
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,RainRate,WindSpeed,0.3682889441037964,0.1356367463490893
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.3682889441037964,0.1356367463490893
Pressure,RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3682889441037964,0.1356367463490893
Pressure,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3682889441037964,0.1356367463490893
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3678072981337381,0.1352822085604405
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3678072981337381,0.1352822085604405
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainRate,WindSpeed,0.3674632904885055,0.1350292698566398
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,VolumeEquivalentDiameter,WindSpeed,0.3674632904885055,0.1350292698566398
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainRate,WindSpeed,0.3674632904885055,0.1350292698566398
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.3674632904885055,0.1350292698566398
KineticEnergy,Pressure,RainAbsolute,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3674632904885055,0.1350292698566398
KineticEnergy,Pressure,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3674632904885055,0.1350292698566398
AverageParticleSpeed,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3665784588070823,0.13437976646137573
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,0.3665784588070819,0.13437976646137545
RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3665784588070819,0.13437976646137545
Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,0.36649912134314944,0.13432160594530057
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,0.36649912134314927,0.13432160594530046
Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.36649912134314927,0.13432160594530046
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.3657019501582318,0.13373791634953386
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.3657019501582318,0.13373791634953386
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainIntensity,RainRate,WindSpeed,0.3657019501582317,0.13373791634953378
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.3657019501582317,0.13373791634953378
KineticEnergy,RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3657019501582317,0.13373791634953378
KineticEnergy,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3657019501582317,0.13373791634953378
AverageParticleSpeed,Pressure,RainAbsolute,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3656690721071201,0.13371387029568219
AverageParticleSpeed,Pressure,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3656690721071201,0.13371387029568219
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,0.36549778255689497,0.13358862905400729
RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.36549778255689497,0.13358862905400729
RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,0.3654977825568946,0.13358862905400698
Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,0.3654157104896327,0.13352864147264304
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,WindSpeed,0.36534909636158974,0.13347996221223019
