Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Correlation (r),R²
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3723729124232638,0.1386615859065837
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,WindSpeed,0.37227222299400914,0.13858660801290126
Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.37227222299400914,0.13858660801290126
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,WindSpeed,0.372272222994009,0.13858660801290118
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3721817569580185,0.13851926021235753
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,WindSpeed,0.3721817569580184,0.1385192602123575
RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3721817569580184,0.1385192602123575
Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,WindSpeed,0.3720791428170598,0.13844288851947797
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,WindSpeed,0.37207914281705945,0.13844288851947772
Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.37207914281705945,0.13844288851947772
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,WindSpeed,0.3717931187577494,0.13823012315561395
KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3717931187577494,0.13823012315561395
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3717931187577492,0.13823012315561378
