Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Correlation (r),R²
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,0.3639923289032167,0.13249041550038748
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3639923289032167,0.13249041550038748
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.36399232890321626,0.13249041550038715
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,0.3639062868198663,0.1324277855870228
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,0.3639062868198661,0.13242778558702265
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.36390628681986603,0.1324277855870226
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.36191329604316713,0.13098123385282914
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,WindSpeed,0.3617842984139169,0.13088787857885006
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3617842984139169,0.13088787857885006
Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3617842984139169,0.13088787857885006
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.36070840696741874,0.13011055485697298
