TimeStamp,Decoded Data,RSSI,SNR (LSNR),Throughput (bps),Latency (s)
2025-01-02 11:25:52.834,1;2025-01-02 11:25:50.176279;,-104,0.8,2.62917965469141,5.14553928375244
2025-01-02 11:26:34.332,1;2025-01-02 11:26:29.225869;,-105,2.0,5.59070376729822,5.15319561958313
2025-01-02 11:26:44.682,1;2025-01-02 11:26:41.247144;,-101,2.8,22.4148746464644,5.14745068550109
2025-01-02 11:26:49.872,1;2025-01-02 11:26:47.257683;,-97,5.8,44.7025906529143,5.14424490928649
2025-01-02 11:27:26.235,1;2025-01-02 11:27:23.321746;,-103,1.5,6.38015475393388,5.15461015701293
2025-01-02 11:27:57.725,1;2025-01-02 11:27:56.360760;,-107,2.2,7.36727582079706,5.31068873405456
2025-01-02 11:28:02.890,1;2025-01-02 11:28:02.371525;,-105,-3.2,44.9200131914769,5.1562705039978
2025-01-02 11:28:13.290,1;2025-01-02 11:28:08.383057;,-101,0.2,22.3067772446411,5.14398312568664
2025-01-02 11:28:28.899,1;2025-01-02 11:28:26.416017;,-103,3.5,14.8635312289208,5.18780922889709
2025-01-02 11:28:34.113,1;2025-01-02 11:28:32.427756;,-97,-7.0,44.4929440479852,5.15866565704345
2025-01-02 11:29:31.605,1;2025-01-02 11:29:29.505569;,-105,2.8,4.03536074175772,5.31351017951965
2025-01-02 11:29:36.770,1;2025-01-02 11:29:35.517079;,-104,1.8,44.9233893194558,5.15450429916381
2025-01-02 11:30:08.369,1;2025-01-02 11:30:05.567844;,-109,-0.2,7.34201956697803,5.50893330574035
2025-01-02 11:31:00.285,1;2025-01-02 11:30:56.638692;,-103,1.8,4.46874036347757,5.17773485183715
2025-01-02 11:31:05.477,1;2025-01-02 11:31:02.649026;,-101,0.0,44.6785024992918,5.14780831336975
2025-01-02 11:31:10.644,1;2025-01-02 11:31:08.660412;,-99,3.2,44.9054900168799,5.14095211029052
2025-01-02 11:31:21.007,1;2025-01-02 11:31:20.682948;,-111,-0.8,22.3860841110508,5.14470672607421
2025-01-02 11:31:31.355,1;2025-01-02 11:31:26.694501;,-102,2.8,22.4202824096296,5.15095973014831
2025-01-02 11:31:41.676,1;2025-01-02 11:31:38.715483;,-94,-1.5,22.4794123334743,5.14586901664733
2025-01-02 11:33:04.602,1;2025-01-02 11:32:59.841110;,-103,-2.8,2.79766463938313,5.15974950790405
2025-01-02 11:33:46.092,1;2025-01-02 11:33:44.900579;,-105,1.2,5.59173532132348,5.21623539924621
2025-01-02 11:34:06.772,1;2025-01-02 11:34:02.933199;,-107,2.0,11.2182057177496,5.14241003990173
2025-01-02 11:34:27.516,1;2025-01-02 11:34:26.975416;,-101,2.0,11.1842275441822,5.20977139472961
2025-01-02 11:34:37.864,1;2025-01-02 11:34:32.986969;,-105,2.5,22.4200628669577,5.14707851409912
2025-01-02 11:34:43.025,1;2025-01-02 11:34:38.997566;,-95,0.5,44.9496919577817,5.15144395828247
2025-01-02 11:35:56.077,1;2025-01-02 11:35:54.105279;,-104,1.5,3.17583980035638,5.20584559440612
2025-01-02 11:37:19.380,1;2025-01-02 11:37:15.224235;,-97,-8.2,2.78499752522996,5.14621520042419
2025-01-02 11:39:08.444,1;2025-01-02 11:39:06.376440;,-107,0.8,2.12719647719921,5.17781281471252
2025-01-02 11:40:00.528,1;2025-01-02 11:39:57.443874;,-104,0.5,4.45434666556047,5.21058845520019
2025-01-02 11:40:10.853,1;2025-01-02 11:40:09.465059;,-104,2.2,22.4694077147253,5.14721584320068
2025-01-02 11:41:28.868,1;2025-01-02 11:41:24.576524;,-98,-8.0,2.97377017541762,5.13855409622192
2025-01-02 11:41:44.468,1;2025-01-02 11:41:42.609335;,-105,2.2,14.8722552376795,5.19453430175781
2025-01-02 11:41:54.928,1;2025-01-02 11:41:54.631561;,-101,6.0,22.1789901091054,5.13722085952758
2025-01-02 11:42:05.267,1;2025-01-02 11:42:00.643332;,-103,4.2,22.4404350925322,5.14458584785461
2025-01-02 11:42:52.043,1;2025-01-02 11:42:51.715207;,-98,-6.8,4.9597583666168,5.14748287200927
2025-01-02 11:43:02.439,1;2025-01-02 11:42:57.727156;,-103,4.5,22.3167895405314,5.18613171577453
2025-01-02 11:43:07.594,1;2025-01-02 11:43:03.737860;,-105,3.5,45.0089653583821,5.13757848739624
2025-01-02 11:43:49.240,1;2025-01-02 11:43:45.811887;,-97,-7.5,5.57069502219679,5.22126150131225
2025-01-02 11:44:20.540,1;2025-01-02 11:44:18.850066;,-97,-7.5,7.412051776156,5.15726733207702
2025-01-02 11:44:41.332,1;2025-01-02 11:44:36.882625;,-103,0.8,11.1584216407748,5.19601464271545
2025-01-02 11:44:57.242,1;2025-01-02 11:44:54.914795;,-95,0.8,14.5820410686451,5.39440178871154
2025-01-02 11:45:07.660,1;2025-01-02 11:45:06.937679;,-105,2.0,22.2687184425604,5.19863772392272
2025-01-02 11:45:18.006,1;2025-01-02 11:45:12.949158;,-102,-3.8,22.4242710862221,5.14998316764831
2025-01-02 11:45:49.102,1;2025-01-02 11:45:45.989442;,-97,-8.0,7.46078954989821,5.16769313812255
2025-01-02 11:45:59.513,1;2025-01-02 11:45:58.011962;,-107,0.2,22.2841449882296,5.14553022384643
2025-01-02 11:46:15.027,1;2025-01-02 11:46:10.034219;,-98,-4.5,14.9542707948557,5.1499056816101
2025-01-02 11:46:20.316,1;2025-01-02 11:46:16.045718;,-103,3.8,43.8611920176368,5.24446463584899
2025-01-02 11:46:25.485,1;2025-01-02 11:46:22.056050;,-104,1.8,44.8840872275131,5.15247058868408
2025-01-02 11:48:56.181,1;2025-01-02 11:48:52.282970;,-104,2.2,1.53952912822532,5.17036199569702
2025-01-02 11:49:06.693,1;2025-01-02 11:49:04.304622;,-92,5.5,22.0688678173786,5.28227066993713
2025-01-02 11:50:35.606,1;2025-01-02 11:50:31.417415;,-98,-5.0,2.6092824658916,5.15818333625793
2025-01-02 11:51:12.419,1;2025-01-02 11:51:07.482196;,-103,2.2,6.30220933483042,5.20615625381469
2025-01-02 11:51:17.587,1;2025-01-02 11:51:13.491507;,-99,5.5,44.8870873177595,5.13861489295959
2025-01-02 11:51:27.946,1;2025-01-02 11:51:25.513162;,-103,1.5,22.397798794,5.15595245361328
2025-01-02 11:51:59.178,1;2025-01-02 11:51:58.552110;,-101,-3.5,7.42811274391127,5.15764212608337
2025-01-02 11:52:14.757,1;2025-01-02 11:52:10.573217;,-105,2.5,14.892182990906,5.15807271003723
2025-01-02 11:52:25.336,1;2025-01-02 11:52:22.595444;,-98,2.0,21.9311693621271,5.14732599258422
2025-01-02 11:52:30.499,1;2025-01-02 11:52:28.607408;,-104,-6.0,44.9311223156398,5.15534162521362
2025-01-02 11:52:35.666,1;2025-01-02 11:52:34.619023;,-97,5.2,44.8979605697603,5.15446758270263
2025-01-02 11:53:53.655,1;2025-01-02 11:53:49.731636;,-121,-1.2,2.97478994083415,5.16162323951721
2025-01-02 11:54:24.717,1;2025-01-02 11:54:19.786454;,-101,-0.8,7.46884360438273,5.14857053756713
