TimeStamp,Decoded Data,RSSI,SNR (LSNR),Throughput (bps),Latency (s)
2024-12-18 00:35:47.043872,1;2024-12-18 00:35:45.454802;,-111,-4.8,3.7225388388323055,5.155193567276001
2024-12-18 00:36:07.752728,1;2024-12-18 00:36:03.487589;,-109,-1.8,11.20293250453213,5.140878200531006
2024-12-18 00:36:18.297046,1;2024-12-18 00:36:15.509730;,-110,-3.0,22.002381853918056,5.310945272445679
2024-12-18 00:37:26.374299,1;2024-12-18 00:37:24.611985;,-109,-3.0,3.4078931551944978,5.311848163604736
2024-12-18 00:37:57.427142,1;2024-12-18 00:37:54.664794;,-109,-1.8,7.471136468850624,5.133622407913208
2024-12-18 00:43:35.968545,1;2024-12-18 00:43:31.157586;,-105,-1.0,0.6852928258639273,5.150054931640625
2024-12-18 00:44:59.196731,1;2024-12-18 00:44:58.290216;,-106,-3.5,2.7875174910842517,5.1898534297943115
2024-12-18 00:46:22.281267,1;2024-12-18 00:46:19.408348;,-107,-5.2,2.79233625986923,5.2165257930755615
2024-12-18 00:47:45.386730,1;2024-12-18 00:47:40.528035;,-109,-4.8,2.791633973165038,5.148127317428589
2024-12-18 00:49:03.551952,1;2024-12-18 00:49:01.652154;,-105,-3.8,2.968071626080851,5.285283803939819
2024-12-18 00:50:47.889140,1;2024-12-18 00:50:46.819974;,-104,-3.5,2.2235599960504717,5.149280548095703
2024-12-18 00:56:15.265631,1;2024-12-18 00:56:11.313394;,-107,-4.5,0.7086642211980135,5.136013984680176
2024-12-18 00:58:04.437638,1;2024-12-18 00:58:02.491261;,-103,-3.8,2.1250866394294037,5.191149711608887
2024-12-18 00:59:02.139762,1;2024-12-18 00:58:59.573020;,-109,-2.5,4.020649629591907,5.166166305541992
2024-12-18 01:02:14.795464,1;2024-12-18 01:02:11.855340;,-104,0.2,1.2042208864770845,5.193108081817627
2024-12-18 01:02:45.965064,1;2024-12-18 01:02:41.908700;,-108,-0.5,7.443146260347634,5.190576076507568
2024-12-18 02:06:36.163581,1;2024-12-18 02:06:31.283856;,-103,-4.0,0.060571272930029764,5.166016340255737
2024-12-18 02:06:57.261892,1;2024-12-18 02:06:55.326586;,-105,-1.2,10.996137796817377,5.557820558547974
2024-12-18 02:07:02.422913,1;2024-12-18 02:07:01.337685;,-105,-1.8,44.95238102277493,5.144867420196533
2024-12-18 02:07:59.810889,1;2024-12-18 02:07:58.417551;,-108,-3.5,4.042658864928704,5.152985572814941
2024-12-18 02:11:27.891248,1;2024-12-18 02:11:22.735674;,-95,1.5,1.1149538665369672,5.136982202529907
2024-12-18 02:13:11.831540,1;2024-12-18 02:13:07.870532;,-103,-1.8,2.232050672590704,5.146699666976929
2024-12-18 02:13:17.024324,1;2024-12-18 02:13:13.882155;,-103,-2.5,44.677339388514376,5.147316932678223
2024-12-18 02:15:17.035990,1;2024-12-18 02:15:14.050876;,-107,-1.0,1.9331472111131682,5.233600616455078
2024-12-18 02:19:26.825805,1;2024-12-18 02:19:23.403350;,-105,-1.2,0.9287804609417226,5.1465535163879395
2024-12-18 02:19:42.439930,1;2024-12-18 02:19:41.435685;,-104,-1.8,14.858342300426003,5.193311929702759
2024-12-18 02:23:36.782940,1;2024-12-18 02:23:32.782819;,-110,-5.5,0.9900017868446258,5.210732698440552
2024-12-18 02:23:57.531512,1;2024-12-18 02:23:56.823557;,-105,1.8,11.181491691477692,5.162048816680908
2024-12-18 02:24:07.975002,1;2024-12-18 02:24:02.834953;,-105,1.2,22.214793415555224,5.1411402225494385
2024-12-18 02:24:54.801083,1;2024-12-18 02:24:53.906852;,-107,-3.0,4.954504077846422,5.148200035095215
2024-12-18 02:29:51.678889,1;2024-12-18 02:29:51.369723;,-104,0.0,0.7814663049952343,5.154369115829468
2024-12-18 02:32:38.883729,1;2024-12-18 02:32:33.611514;,-107,-1.2,1.3875196539202372,5.294551372528076
2024-12-18 02:36:53.387149,1;2024-12-18 02:36:48.997209;,-107,-3.5,0.9115794075893826,5.143625736236572
2024-12-18 02:37:03.864035,1;2024-12-18 02:37:01.020005;,-105,-2.5,22.144047304788554,5.203425645828247
2024-12-18 02:37:09.021520,1;2024-12-18 02:37:07.030725;,-105,-2.2,44.98215041519843,5.14790940284729
2024-12-18 02:38:32.064303,1;2024-12-18 02:38:28.154567;,-107,-0.2,2.7937409233177277,5.1526594161987305
2024-12-18 02:38:37.255386,1;2024-12-18 02:38:34.165198;,-107,-0.5,44.69306804909741,5.182684898376465
2024-12-18 02:38:47.707630,1;2024-12-18 02:38:46.187998;,-109,-8.5,22.196179873544448,5.188760757446289
2024-12-18 02:41:18.613712,1;2024-12-18 02:41:16.414512;,-105,-0.2,1.5373799762960512,5.152031421661377
2024-12-18 02:42:57.349415,1;2024-12-18 02:42:55.570950;,-91,-2.0,2.349704651834749,5.157896041870117
2024-12-18 02:44:04.988549,1;2024-12-18 02:44:04.655097;,-105,-0.8,3.429967124708683,5.146596908569336
2024-12-18 02:45:38.896382,1;2024-12-18 02:45:37.800020;,-105,-0.8,2.470507373590112,5.142048597335815
2024-12-18 02:46:10.417832,1;2024-12-18 02:46:07.850986;,-104,-2.0,7.360066163546018,5.499040842056274
2024-12-18 02:47:54.347938,1;2024-12-18 02:47:53.018332;,-89,-0.2,2.2322694769654725,5.158321380615234
2024-12-18 02:49:17.472746,1;2024-12-18 02:49:14.140679;,-104,-0.8,2.7909881944502786,5.140208005905151
2024-12-18 02:50:50.859257,1;2024-12-18 02:50:47.249488;,-103,-1.0,2.4842956435871733,5.146575689315796
2024-12-18 02:51:11.608854,1;2024-12-18 02:51:11.292852;,-104,-1.5,11.18093730724709,5.178681373596191
2024-12-18 02:52:34.602023,1;2024-12-18 02:52:32.412889;,-107,-0.8,2.795410713958939,5.148372173309326
2024-12-18 02:52:39.794065,1;2024-12-18 02:52:38.423846;,-105,-3.0,44.68377520704299,5.1804039478302
2024-12-18 02:54:34.746166,1;2024-12-18 02:54:29.586351;,-107,-1.5,2.0182334020481165,5.14379096031189
2024-12-18 02:54:55.548046,1;2024-12-18 02:54:53.627537;,-110,-3.0,11.152789341957156,5.1483154296875
2024-12-18 02:55:42.162482,1;2024-12-18 02:55:38.687842;,-105,-5.2,4.976999285830108,5.166659832000732
2024-12-18 02:57:21.194224,1;2024-12-18 02:57:17.843333;,-90,-1.0,2.342683237960035,5.464050531387329
2024-12-18 02:57:31.542919,1;2024-12-18 02:57:29.865855;,-108,-3.0,22.418288086910877,5.143702030181885
2024-12-18 02:57:36.706928,1;2024-12-18 02:57:35.876203;,-103,-4.2,44.92722851888821,5.146406888961792
2024-12-18 02:58:59.990194,1;2024-12-18 02:58:57.002361;,-103,1.0,2.785670167834076,5.347545146942139
2024-12-18 02:59:05.254599,1;2024-12-18 02:59:03.013822;,-105,-5.2,44.069483770152125,5.221731662750244
2024-12-18 03:02:54.199294,1;2024-12-18 03:02:51.326928;,-105,-4.5,1.013345221069184,5.169432163238525
2024-12-18 03:03:25.485776,1;2024-12-18 03:03:21.379478;,-110,-3.0,7.415342223613691,5.148154258728027
2024-12-18 03:04:22.805589,1;2024-12-18 03:04:18.459149;,-108,-1.8,4.047465695453118,5.148183822631836
2024-12-18 03:05:35.606434,1;2024-12-18 03:05:33.572869;,-103,-2.0,3.186776493706557,5.1757893562316895
2024-12-18 03:05:45.962864,1;2024-12-18 03:05:45.594936;,-105,-3.0,22.40153605503307,5.143721103668213
