Variable 1,Variable 2,Variable 3,Variable 4,Correlation (r),R²
KineticEnergy,Pressure,RainIntensity,WindSpeed,-0.1781597301927583,0.03174088946235643
KineticEnergy,Pressure,RainRate,WindSpeed,-0.17775889592774888,0.031598225081452255
AverageParticleSpeed,KineticEnergy,Pressure,WindSpeed,-0.17775889592774874,0.03159822508145221
KineticEnergy,Pressure,VolumeEquivalentDiameter,WindSpeed,-0.17775889592774874,0.03159822508145221
AverageParticleSpeed,Pressure,VolumeEquivalentDiameter,WindSpeed,-0.17700348958550385,0.03133023532544557
AverageParticleSpeed,Pressure,RainRate,WindSpeed,-0.17700348958550383,0.031330235325445564
Pressure,RainRate,VolumeEquivalentDiameter,WindSpeed,-0.17700348958550383,0.031330235325445564
Humidity,Pressure,SnowDepthIntensity,Temperature,-0.17587092540778954,0.030930582403792272
RainRate,SnowDepthIntensity,Temperature,WindSpeed,-0.17586604843982054,0.030928866993837303
AverageParticleSpeed,SnowDepthIntensity,Temperature,WindSpeed,-0.17586604843982037,0.030928866993837244
SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,-0.17586604843982037,0.030928866993837244
AverageParticleSpeed,Humidity,RadarReflectivity,RainAbsolute,0.17472596220190614,0.030529161867381933
AverageParticleSpeed,Humidity,RadarReflectivity,RainAccumulated,0.17472596220190614,0.030529161867381933
Humidity,RadarReflectivity,RainAbsolute,VolumeEquivalentDiameter,0.17472596220190614,0.030529161867381933
Humidity,RadarReflectivity,RainAccumulated,VolumeEquivalentDiameter,0.17472596220190614,0.030529161867381933
Humidity,RadarReflectivity,RainAbsolute,RainRate,0.17472596220190587,0.030529161867381836
Humidity,RadarReflectivity,RainAccumulated,RainRate,0.17472596220190587,0.030529161867381836
AverageParticleSpeed,RainIntensity,VolumeEquivalentDiameter,WindSpeed,-0.17465186702772814,0.030503274656271232
AverageParticleSpeed,RainIntensity,RainRate,WindSpeed,-0.17465186702772806,0.030503274656271204
RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,-0.17465186702772806,0.030503274656271204
Humidity,RainAbsolute,RainAccumulated,WeatherCode4680,0.17448999462443163,0.030446758224034177
KineticEnergy,RainIntensity,RainRate,WindSpeed,-0.17417016610713548,0.030335246761787164
AverageParticleSpeed,KineticEnergy,RainIntensity,WindSpeed,-0.17417016610713543,0.030335246761787147
KineticEnergy,RainIntensity,VolumeEquivalentDiameter,WindSpeed,-0.17417016610713543,0.030335246761787147
Humidity,Pressure,RadarReflectivity,RainAbsolute,0.17394769102706173,0.03025779921364613
Humidity,Pressure,RadarReflectivity,RainAccumulated,0.17394769102706173,0.03025779921364613
AverageParticleSpeed,KineticEnergy,VolumeEquivalentDiameter,WindSpeed,-0.1737538461187347,0.03019039904105294
AverageParticleSpeed,KineticEnergy,RainRate,WindSpeed,-0.1737538461187346,0.0301903990410529
KineticEnergy,RainRate,VolumeEquivalentDiameter,WindSpeed,-0.1737538461187346,0.0301903990410529
Humidity,RainRate,SnowDepthIntensity,Temperature,-0.17360148986426416,0.030137477283092212
AverageParticleSpeed,Humidity,SnowDepthIntensity,Temperature,-0.17360148986426388,0.030137477283092115
Humidity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,-0.17360148986426388,0.030137477283092115
RainIntensity,SnowDepthIntensity,Temperature,WindSpeed,-0.17329654888720583,0.03003169385621572
AverageParticleSpeed,RainRate,VolumeEquivalentDiameter,WindSpeed,-0.17298245575427,0.029922929998777974
Humidity,RadarReflectivity,RainAbsolute,RainIntensity,0.17273435199147355,0.02983715635791428
Humidity,RadarReflectivity,RainAccumulated,RainIntensity,0.17273435199147355,0.02983715635791428
Humidity,RainIntensity,SnowDepthIntensity,Temperature,-0.17204188827870887,0.029598411322503744
Humidity,KineticEnergy,RadarReflectivity,RainAbsolute,0.1719759621342992,0.02957573155201791
Humidity,KineticEnergy,RadarReflectivity,RainAccumulated,0.1719759621342992,0.02957573155201791
KineticEnergy,SnowDepthIntensity,Temperature,WindSpeed,-0.17174893897816076,0.02949769804012399
Humidity,KineticEnergy,SnowDepthIntensity,Temperature,-0.17124301510002857,0.02932417022054861
RadarReflectivity,RainAbsolute,RainAccumulated,WeatherCode4680,0.1671667292150803,0.027944715356467982
Pressure,RainRate,SnowDepthIntensity,WindSpeed,-0.16635641381128485,0.027674456416151447
AverageParticleSpeed,Pressure,SnowDepthIntensity,WindSpeed,-0.16635641381128466,0.02767445641615138
Pressure,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,-0.16635641381128466,0.02767445641615138
Pressure,RainIntensity,SnowDepthIntensity,WindSpeed,-0.16449958003822449,0.027060111832752223
ParticlesDetected,RainAbsolute,RainAccumulated,WeatherCode4680,0.16381241903757385,0.026834508630941688
KineticEnergy,Pressure,SnowDepthIntensity,WindSpeed,-0.16304924657561323,0.026585056808875122
AverageParticleSpeed,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,-0.16266380070164801,0.026459512058705465
AverageParticleSpeed,RainRate,SnowDepthIntensity,WindSpeed,-0.1626638007016479,0.02645951205870543
RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,-0.1626638007016479,0.02645951205870543
Humidity,ParticlesDetected,RainAbsolute,RainRate,0.1622766070119634,0.026333697183315206
Humidity,ParticlesDetected,RainAccumulated,RainRate,0.1622766070119634,0.026333697183315206
AverageParticleSpeed,Humidity,ParticlesDetected,RainAbsolute,0.16227660701196323,0.02633369718331515
AverageParticleSpeed,Humidity,ParticlesDetected,RainAccumulated,0.16227660701196323,0.02633369718331515
Humidity,ParticlesDetected,RainAbsolute,VolumeEquivalentDiameter,0.16227660701196323,0.02633369718331515
Humidity,ParticlesDetected,RainAccumulated,VolumeEquivalentDiameter,0.16227660701196323,0.02633369718331515
Humidity,ParticlesDetected,Pressure,RainAbsolute,0.16148189805936125,0.02607640340085394
Humidity,ParticlesDetected,Pressure,RainAccumulated,0.16148189805936125,0.02607640340085394
AverageParticleSpeed,RainIntensity,SnowDepthIntensity,WindSpeed,-0.160849994924233,0.02587272086712578
RainIntensity,RainRate,SnowDepthIntensity,WindSpeed,-0.160849994924233,0.02587272086712578
RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,-0.160849994924233,0.02587272086712578
Humidity,ParticlesDetected,RainAbsolute,RainIntensity,0.1602893992249695,0.02569269150390165
Humidity,ParticlesDetected,RainAccumulated,RainIntensity,0.1602893992249695,0.02569269150390165
Humidity,KineticEnergy,ParticlesDetected,RainAbsolute,0.1595040134659754,0.02544153031175406
Humidity,KineticEnergy,ParticlesDetected,RainAccumulated,0.1595040134659754,0.02544153031175406
AverageParticleSpeed,KineticEnergy,SnowDepthIntensity,WindSpeed,-0.15941997405185793,0.025414728126695055
KineticEnergy,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,-0.15941997405185793,0.025414728126695055
KineticEnergy,RainRate,SnowDepthIntensity,WindSpeed,-0.1594199740518579,0.025414728126695044
Humidity,RadarReflectivity,RainAbsolute,SnowDepthIntensity,0.1575620999319064,0.024825815334952057
Humidity,RadarReflectivity,RainAccumulated,SnowDepthIntensity,0.1575620999319064,0.024825815334952057
KineticEnergy,RainIntensity,SnowDepthIntensity,WindSpeed,-0.15717116048760651,0.024702773689020963
Humidity,ParticlesDetected,Pressure,WindSpeed,-0.15413873047670254,0.02375874823296955
Humidity,Pressure,RadarReflectivity,WindSpeed,-0.1539733122895362,0.02370778089741104
ParticlesDetected,RadarReflectivity,RainAbsolute,RainRate,0.153153582134026,0.023456019720483848
ParticlesDetected,RadarReflectivity,RainAccumulated,RainRate,0.153153582134026,0.023456019720483848
AverageParticleSpeed,ParticlesDetected,RadarReflectivity,RainAbsolute,0.15315358213402555,0.02345601972048371
AverageParticleSpeed,ParticlesDetected,RadarReflectivity,RainAccumulated,0.15315358213402555,0.02345601972048371
ParticlesDetected,RadarReflectivity,RainAbsolute,VolumeEquivalentDiameter,0.15315358213402555,0.02345601972048371
ParticlesDetected,RadarReflectivity,RainAccumulated,VolumeEquivalentDiameter,0.15315358213402555,0.02345601972048371
Humidity,ParticlesDetected,RainRate,WindSpeed,-0.15283815403439027,0.02335950132864001
AverageParticleSpeed,Humidity,ParticlesDetected,WindSpeed,-0.15283815403439022,0.02335950132863999
Humidity,ParticlesDetected,VolumeEquivalentDiameter,WindSpeed,-0.15283815403439022,0.02335950132863999
AverageParticleSpeed,Humidity,RadarReflectivity,WindSpeed,-0.15258886423430418,0.023283361488314912
Humidity,RadarReflectivity,VolumeEquivalentDiameter,WindSpeed,-0.15258886423430418,0.023283361488314912
Humidity,RadarReflectivity,RainRate,WindSpeed,-0.15258886423430393,0.023283361488314835
ParticlesDetected,Pressure,RadarReflectivity,RainAbsolute,0.15252961874976123,0.023265284595947514
ParticlesDetected,Pressure,RadarReflectivity,RainAccumulated,0.15252961874976123,0.023265284595947514
Humidity,ParticlesDetected,Temperature,WindSpeed,-0.15239696662039762,0.023224835435098585
Humidity,RadarReflectivity,RainAbsolute,Temperature,0.15197817576789782,0.023097365909738043
Humidity,RadarReflectivity,RainAccumulated,Temperature,0.15197817576789782,0.023097365909738043
ParticlesDetected,RadarReflectivity,RainAbsolute,RainIntensity,0.1516873948046648,0.023009065742626254
ParticlesDetected,RadarReflectivity,RainAccumulated,RainIntensity,0.1516873948046648,0.023009065742626254
Humidity,ParticlesDetected,RainIntensity,WindSpeed,-0.151505571275091,0.022953938127391684
Humidity,RadarReflectivity,RainIntensity,WindSpeed,-0.15134837034383977,0.022906329205736077
Humidity,RadarReflectivity,Temperature,WindSpeed,-0.15125753749301948,0.022878842648452195
KineticEnergy,ParticlesDetected,RadarReflectivity,RainAbsolute,0.1511003297799143,0.02283130965959886
KineticEnergy,ParticlesDetected,RadarReflectivity,RainAccumulated,0.1511003297799143,0.02283130965959886
Humidity,KineticEnergy,ParticlesDetected,WindSpeed,-0.15073632480119337,0.022721439614570862
Humidity,KineticEnergy,RadarReflectivity,WindSpeed,-0.15064488524161954,0.02269388144946072
Humidity,RadarReflectivity,RainAbsolute,WindSpeed,0.14684165562090132,0.02156247182548738
Humidity,RadarReflectivity,RainAccumulated,WindSpeed,0.14684165562090132,0.02156247182548738
Humidity,ParticlesDetected,RainAbsolute,SnowDepthIntensity,0.14630438833954176,0.021404974047407443
Humidity,ParticlesDetected,RainAccumulated,SnowDepthIntensity,0.14630438833954176,0.021404974047407443
Humidity,ParticlesDetected,SnowDepthIntensity,WindSpeed,-0.14392062911407286,0.020713147484590515
Humidity,RadarReflectivity,SnowDepthIntensity,WindSpeed,-0.14298277960939554,0.020444075264828977
ParticlesDetected,RadarReflectivity,RainAbsolute,SnowDepthIntensity,0.14125790779209746,0.01995379651380071
ParticlesDetected,RadarReflectivity,RainAccumulated,SnowDepthIntensity,0.14125790779209746,0.01995379651380071
Humidity,ParticlesDetected,RainAbsolute,Temperature,0.14118248022581273,0.019932492722712
Humidity,ParticlesDetected,RainAccumulated,Temperature,0.14118248022581273,0.019932492722712
ParticlesDetected,RadarReflectivity,RainAbsolute,Temperature,0.1388235110946624,0.019271967232649855
ParticlesDetected,RadarReflectivity,RainAccumulated,Temperature,0.1388235110946624,0.019271967232649855
Humidity,ParticlesDetected,RainAbsolute,WindSpeed,0.13386777362660632,0.017920580815744314
Humidity,ParticlesDetected,RainAccumulated,WindSpeed,0.13386777362660632,0.017920580815744314
ParticlesDetected,RadarReflectivity,RainAbsolute,WindSpeed,0.13121300358526924,0.01721685230986788
ParticlesDetected,RadarReflectivity,RainAccumulated,WindSpeed,0.13121300358526924,0.01721685230986788
AverageParticleSpeed,Pressure,RainIntensity,VolumeEquivalentDiameter,-0.1256784308534393,0.015795067981782724
AverageParticleSpeed,Pressure,RainIntensity,RainRate,-0.1256784308534385,0.01579506798178252
Pressure,RainIntensity,RainRate,VolumeEquivalentDiameter,-0.1256784308534385,0.01579506798178252
Humidity,ParticlesDetected,Pressure,Temperature,-0.11954679847069546,0.014291437024593075
Humidity,ParticlesDetected,RainRate,Temperature,-0.11826239419188873,0.013985993879997678
AverageParticleSpeed,Humidity,ParticlesDetected,Temperature,-0.11826239419188868,0.013985993879997665
Humidity,ParticlesDetected,Temperature,VolumeEquivalentDiameter,-0.11826239419188868,0.013985993879997665
Humidity,ParticlesDetected,RainIntensity,Temperature,-0.1174294451292882,0.013789674583372508
Humidity,ParticlesDetected,Pressure,RainRate,-0.11713131993884003,0.013719746110614904
AverageParticleSpeed,Humidity,ParticlesDetected,Pressure,-0.11713131993883996,0.013719746110614888
Humidity,ParticlesDetected,Pressure,VolumeEquivalentDiameter,-0.11713131993883996,0.013719746110614888
Humidity,KineticEnergy,ParticlesDetected,Temperature,-0.11691578620716174,0.013669301064438751
Humidity,ParticlesDetected,Pressure,RainIntensity,-0.11619277972678824,0.013500762060637932
Humidity,Pressure,RadarReflectivity,Temperature,-0.11615770389640796,0.01349261217448559
AverageParticleSpeed,Humidity,ParticlesDetected,VolumeEquivalentDiameter,-0.11570882329581714,0.013388531788502635
AverageParticleSpeed,Humidity,ParticlesDetected,RainRate,-0.11570882329581665,0.013388531788502522
Humidity,ParticlesDetected,RainRate,VolumeEquivalentDiameter,-0.11570882329581665,0.013388531788502522
Humidity,KineticEnergy,ParticlesDetected,Pressure,-0.11561058399888591,0.013365807132563454
AverageParticleSpeed,Humidity,RadarReflectivity,Temperature,-0.11480818293327441,0.013180918868440201
Humidity,RadarReflectivity,Temperature,VolumeEquivalentDiameter,-0.11480818293327441,0.013180918868440201
Humidity,RadarReflectivity,RainRate,Temperature,-0.11480818293327437,0.013180918868440193
AverageParticleSpeed,Humidity,ParticlesDetected,RainIntensity,-0.11478902111792876,0.013176519369212294
Humidity,ParticlesDetected,RainIntensity,VolumeEquivalentDiameter,-0.11478902111792876,0.013176519369212294
Humidity,ParticlesDetected,RainIntensity,RainRate,-0.1147890211179283,0.013176519369212188
AverageParticleSpeed,Humidity,KineticEnergy,ParticlesDetected,-0.11421553925126751,0.01304518940645783
Humidity,KineticEnergy,ParticlesDetected,VolumeEquivalentDiameter,-0.11421553925126751,0.01304518940645783
Humidity,KineticEnergy,ParticlesDetected,RainRate,-0.11421553925126744,0.013045189406457814
AverageParticleSpeed,RainAbsolute,RainRate,WeatherCode4680,0.11417392929047399,0.013035686129626153
AverageParticleSpeed,RainAccumulated,RainRate,WeatherCode4680,0.11417392929047399,0.013035686129626153
RainAbsolute,RainRate,VolumeEquivalentDiameter,WeatherCode4680,0.11417392929047399,0.013035686129626153
RainAccumulated,RainRate,VolumeEquivalentDiameter,WeatherCode4680,0.11417392929047399,0.013035686129626153
AverageParticleSpeed,RainAbsolute,VolumeEquivalentDiameter,WeatherCode4680,0.11417392929047368,0.013035686129626084
AverageParticleSpeed,RainAccumulated,VolumeEquivalentDiameter,WeatherCode4680,0.11417392929047368,0.013035686129626084
Humidity,RadarReflectivity,RainIntensity,Temperature,-0.114103343685676,0.013019573040251496
Humidity,Pressure,RadarReflectivity,RainRate,-0.11398507933328839,0.012992598310616048
AverageParticleSpeed,Humidity,Pressure,RadarReflectivity,-0.1139850793332882,0.012992598310616006
Humidity,Pressure,RadarReflectivity,VolumeEquivalentDiameter,-0.1139850793332882,0.012992598310616006
Humidity,KineticEnergy,RadarReflectivity,Temperature,-0.11366419998241079,0.012919550357641472
Pressure,RainAbsolute,RainRate,WeatherCode4680,0.11363888027463061,0.012913795110071829
Pressure,RainAccumulated,RainRate,WeatherCode4680,0.11363888027463061,0.012913795110071829
AverageParticleSpeed,Pressure,RainAbsolute,WeatherCode4680,0.11363888027463052,0.01291379511007181
AverageParticleSpeed,Pressure,RainAccumulated,WeatherCode4680,0.11363888027463052,0.01291379511007181
Pressure,RainAbsolute,VolumeEquivalentDiameter,WeatherCode4680,0.11363888027463052,0.01291379511007181
Pressure,RainAccumulated,VolumeEquivalentDiameter,WeatherCode4680,0.11363888027463052,0.01291379511007181
AverageParticleSpeed,RainAbsolute,RainIntensity,WeatherCode4680,0.11332010916806202,0.012841447141861495
AverageParticleSpeed,RainAccumulated,RainIntensity,WeatherCode4680,0.11332010916806202,0.012841447141861495
RainAbsolute,RainIntensity,VolumeEquivalentDiameter,WeatherCode4680,0.11332010916806202,0.012841447141861495
RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WeatherCode4680,0.11332010916806202,0.012841447141861495
RainAbsolute,RainIntensity,RainRate,WeatherCode4680,0.1133201091680617,0.012841447141861423
RainAccumulated,RainIntensity,RainRate,WeatherCode4680,0.1133201091680617,0.012841447141861423
Humidity,KineticEnergy,ParticlesDetected,RainIntensity,-0.11331438671934646,0.012840150237581602
Humidity,Pressure,RadarReflectivity,RainIntensity,-0.1131772402448616,0.01280908770944312
AverageParticleSpeed,KineticEnergy,RainAbsolute,WeatherCode4680,0.11304411895587235,0.01277897283050942
AverageParticleSpeed,KineticEnergy,RainAccumulated,WeatherCode4680,0.11304411895587235,0.01277897283050942
KineticEnergy,RainAbsolute,RainRate,WeatherCode4680,0.11304411895587235,0.01277897283050942
KineticEnergy,RainAbsolute,VolumeEquivalentDiameter,WeatherCode4680,0.11304411895587235,0.01277897283050942
KineticEnergy,RainAccumulated,RainRate,WeatherCode4680,0.11304411895587235,0.01277897283050942
KineticEnergy,RainAccumulated,VolumeEquivalentDiameter,WeatherCode4680,0.11304411895587235,0.01277897283050942
Humidity,ParticlesDetected,SnowDepthIntensity,Temperature,-0.11286220435641318,0.012737877172188772
Pressure,RainAbsolute,RainIntensity,WeatherCode4680,0.11278669224033343,0.01272083794651569
Pressure,RainAccumulated,RainIntensity,WeatherCode4680,0.11278669224033343,0.01272083794651569
Humidity,KineticEnergy,Pressure,RadarReflectivity,-0.1126727361967378,0.01269514548205967
KineticEnergy,Pressure,RainAbsolute,WeatherCode4680,0.112511347184225,0.012658803245209214
KineticEnergy,Pressure,RainAccumulated,WeatherCode4680,0.112511347184225,0.012658803245209214
AverageParticleSpeed,Humidity,RadarReflectivity,VolumeEquivalentDiameter,-0.1124722999337497,0.012650018252387353
AverageParticleSpeed,Humidity,RadarReflectivity,RainRate,-0.11247229993374953,0.012650018252387315
Humidity,RadarReflectivity,RainRate,VolumeEquivalentDiameter,-0.11247229993374953,0.012650018252387315
KineticEnergy,RainAbsolute,RainIntensity,WeatherCode4680,0.11219580067003197,0.012587897687989546
KineticEnergy,RainAccumulated,RainIntensity,WeatherCode4680,0.11219580067003197,0.012587897687989546
Humidity,RadarReflectivity,RainIntensity,RainRate,-0.11168375071660658,0.01247326017412912
AverageParticleSpeed,Humidity,RadarReflectivity,RainIntensity,-0.11168375071660618,0.01247326017412903
Humidity,RadarReflectivity,RainIntensity,VolumeEquivalentDiameter,-0.11168375071660618,0.01247326017412903
Humidity,KineticEnergy,RadarReflectivity,RainRate,-0.11118786552516546,0.012362741440042279
AverageParticleSpeed,Humidity,KineticEnergy,RadarReflectivity,-0.1111878655251653,0.012362741440042242
Humidity,KineticEnergy,RadarReflectivity,VolumeEquivalentDiameter,-0.1111878655251653,0.012362741440042242
Humidity,ParticlesDetected,Pressure,SnowDepthIntensity,-0.11115446912092361,0.01235531600555436
Humidity,KineticEnergy,RadarReflectivity,RainIntensity,-0.11040407592922928,0.012189059981787024
AverageParticleSpeed,Humidity,ParticlesDetected,SnowDepthIntensity,-0.10987112487420034,0.012071664081122124
Humidity,ParticlesDetected,SnowDepthIntensity,VolumeEquivalentDiameter,-0.10987112487420034,0.012071664081122124
Humidity,ParticlesDetected,RainRate,SnowDepthIntensity,-0.10987112487420023,0.0120716640811221
Humidity,ParticlesDetected,RadarReflectivity,WindSpeed,-0.1095797927178147,0.012007730972079236
Humidity,RadarReflectivity,SnowDepthIntensity,Temperature,-0.10944732351777084,0.011978716625203594
Humidity,ParticlesDetected,RainIntensity,SnowDepthIntensity,-0.10907560555041508,0.011897487726189742
Humidity,KineticEnergy,ParticlesDetected,SnowDepthIntensity,-0.10859748270220632,0.011793413249256
Humidity,Pressure,RadarReflectivity,SnowDepthIntensity,-0.10788334591373767,0.011638816325543179
AverageParticleSpeed,RainAbsolute,SnowDepthIntensity,WeatherCode4680,0.1068303221165991,0.011412717723536322
AverageParticleSpeed,RainAccumulated,SnowDepthIntensity,WeatherCode4680,0.1068303221165991,0.011412717723536322
RainAbsolute,SnowDepthIntensity,VolumeEquivalentDiameter,WeatherCode4680,0.1068303221165991,0.011412717723536322
RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,WeatherCode4680,0.1068303221165991,0.011412717723536322
RainAbsolute,RainRate,SnowDepthIntensity,WeatherCode4680,0.10683032211659893,0.011412717723536286
RainAccumulated,RainRate,SnowDepthIntensity,WeatherCode4680,0.10683032211659893,0.011412717723536286
Humidity,RadarReflectivity,RainRate,SnowDepthIntensity,-0.10652894141088326,0.011348415358123398
AverageParticleSpeed,Humidity,RadarReflectivity,SnowDepthIntensity,-0.10652894141088322,0.01134841535812339
Humidity,RadarReflectivity,SnowDepthIntensity,VolumeEquivalentDiameter,-0.10652894141088322,0.01134841535812339
Pressure,RainAbsolute,SnowDepthIntensity,WeatherCode4680,0.10630862583639543,0.011301523927222721
Pressure,RainAccumulated,SnowDepthIntensity,WeatherCode4680,0.10630862583639543,0.011301523927222721
RainAbsolute,RainIntensity,SnowDepthIntensity,WeatherCode4680,0.10603100754863033,0.011242574561777702
RainAccumulated,RainIntensity,SnowDepthIntensity,WeatherCode4680,0.10603100754863033,0.011242574561777702
Humidity,RadarReflectivity,RainIntensity,SnowDepthIntensity,-0.10584193515998136,0.011202515238409698
KineticEnergy,RainAbsolute,SnowDepthIntensity,WeatherCode4680,0.10577590808926912,0.01118854273210951
KineticEnergy,RainAccumulated,SnowDepthIntensity,WeatherCode4680,0.10577590808926912,0.01118854273210951
Humidity,KineticEnergy,RadarReflectivity,SnowDepthIntensity,-0.10542860622550691,0.011115191010652996
AverageParticleSpeed,Pressure,Temperature,VolumeEquivalentDiameter,-0.10500865331976214,0.011026817272029992
AverageParticleSpeed,Pressure,RainRate,Temperature,-0.105008653319762,0.011026817272029964
Pressure,RainRate,Temperature,VolumeEquivalentDiameter,-0.105008653319762,0.011026817272029964
AverageParticleSpeed,Pressure,RainIntensity,Temperature,-0.10400592869216017,0.010817233203118707
Pressure,RainIntensity,Temperature,VolumeEquivalentDiameter,-0.10400592869216017,0.010817233203118707
Pressure,RainIntensity,RainRate,Temperature,-0.10400592869215994,0.010817233203118658
AverageParticleSpeed,RainAbsolute,Temperature,WeatherCode4680,0.10382309731775119,0.010779235536651234
AverageParticleSpeed,RainAccumulated,Temperature,WeatherCode4680,0.10382309731775119,0.010779235536651234
RainAbsolute,Temperature,VolumeEquivalentDiameter,WeatherCode4680,0.10382309731775119,0.010779235536651234
RainAccumulated,Temperature,VolumeEquivalentDiameter,WeatherCode4680,0.10382309731775119,0.010779235536651234
RainAbsolute,RainRate,Temperature,WeatherCode4680,0.10382309731775116,0.010779235536651229
RainAccumulated,RainRate,Temperature,WeatherCode4680,0.10382309731775116,0.010779235536651229
ParticlesDetected,Pressure,Temperature,WindSpeed,-0.10335550173713381,0.01068235973933467
Pressure,RainAbsolute,Temperature,WeatherCode4680,0.10329452775820003,0.010669759464789557
Pressure,RainAccumulated,Temperature,WeatherCode4680,0.10329452775820003,0.010669759464789557
RainAbsolute,RainIntensity,Temperature,WeatherCode4680,0.1030435868213682,0.010617980785012847
RainAccumulated,RainIntensity,Temperature,WeatherCode4680,0.1030435868213682,0.010617980785012847
KineticEnergy,RainAbsolute,Temperature,WeatherCode4680,0.1027935757382456,0.010566519213054435
KineticEnergy,RainAccumulated,Temperature,WeatherCode4680,0.1027935757382456,0.010566519213054435
AverageParticleSpeed,KineticEnergy,Pressure,Temperature,-0.10194468126274163,0.010392718037761985
KineticEnergy,Pressure,Temperature,VolumeEquivalentDiameter,-0.10194468126274163,0.010392718037761985
KineticEnergy,Pressure,RainRate,Temperature,-0.10194468126274157,0.010392718037761973
AverageParticleSpeed,ParticlesDetected,Temperature,WindSpeed,-0.101805854810231,0.010364432073641834
ParticlesDetected,Temperature,VolumeEquivalentDiameter,WindSpeed,-0.101805854810231,0.010364432073641834
ParticlesDetected,RainRate,Temperature,WindSpeed,-0.10180585481023091,0.010364432073641816
Pressure,RadarReflectivity,Temperature,WindSpeed,-0.10099962765258752,0.010200924785961322
ParticlesDetected,RainIntensity,Temperature,WindSpeed,-0.10092545548815908,0.01018594756549238
KineticEnergy,ParticlesDetected,Temperature,WindSpeed,-0.10032013250271653,0.0100641289853626
KineticEnergy,Pressure,RainIntensity,Temperature,-0.10001984571481971,0.01000396953681634
