Variable 1,Variable 2,Variable 3,Variable 4,Correlation (r),R²
Pressure,RainAbsolute,RainRate,Temperature,0.36303524291982303,0.13179458760185492
Pressure,RainAbsolute,Temperature,VolumeEquivalentDiameter,0.36303524291982303,0.13179458760185492
Pressure,RainAccumulated,RainRate,Temperature,0.36303524291982303,0.13179458760185492
Pressure,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.36303524291982303,0.13179458760185492
KineticEnergy,RainAbsolute,RainRate,SnowDepthIntensity,0.36267211301755975,0.13153106156062164
KineticEnergy,RainAccumulated,RainRate,SnowDepthIntensity,0.36267211301755975,0.13153106156062164
AverageParticleSpeed,KineticEnergy,RainAbsolute,SnowDepthIntensity,0.36267211301755825,0.13153106156062055
AverageParticleSpeed,KineticEnergy,RainAccumulated,SnowDepthIntensity,0.36267211301755825,0.13153106156062055
KineticEnergy,RainAbsolute,SnowDepthIntensity,VolumeEquivalentDiameter,0.36267211301755825,0.13153106156062055
KineticEnergy,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.36267211301755825,0.13153106156062055
KineticEnergy,Pressure,RainAbsolute,SnowDepthIntensity,0.36248404701654946,0.13139468434149604
KineticEnergy,Pressure,RainAccumulated,SnowDepthIntensity,0.36248404701654946,0.13139468434149604
AverageParticleSpeed,RainAbsolute,RainIntensity,Temperature,0.3612211598209691,0.1304807263024061
AverageParticleSpeed,RainAccumulated,RainIntensity,Temperature,0.3612211598209691,0.1304807263024061
RainAbsolute,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3612211598209691,0.1304807263024061
RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3612211598209691,0.1304807263024061
RainAbsolute,RainIntensity,RainRate,Temperature,0.3612211598209687,0.13048072630240581
RainAccumulated,RainIntensity,RainRate,Temperature,0.3612211598209687,0.13048072630240581
Pressure,RainAbsolute,RainIntensity,Temperature,0.3610319636495825,0.13034407877667348
Pressure,RainAccumulated,RainIntensity,Temperature,0.3610319636495825,0.13034407877667348
AverageParticleSpeed,KineticEnergy,RainAbsolute,Temperature,0.3604244609631867,0.12990579206060368
AverageParticleSpeed,KineticEnergy,RainAccumulated,Temperature,0.3604244609631867,0.12990579206060368
KineticEnergy,RainAbsolute,RainRate,Temperature,0.3604244609631867,0.12990579206060368
KineticEnergy,RainAbsolute,Temperature,VolumeEquivalentDiameter,0.3604244609631867,0.12990579206060368
KineticEnergy,RainAccumulated,RainRate,Temperature,0.3604244609631867,0.12990579206060368
KineticEnergy,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.3604244609631867,0.12990579206060368
KineticEnergy,Pressure,RainAbsolute,Temperature,0.3602307125451049,0.12976616626075402
KineticEnergy,Pressure,RainAccumulated,Temperature,0.3602307125451049,0.12976616626075402
KineticEnergy,RainAbsolute,RainIntensity,SnowDepthIntensity,0.36017879473020326,0.1297287641733019
KineticEnergy,RainAccumulated,RainIntensity,SnowDepthIntensity,0.36017879473020326,0.1297287641733019
KineticEnergy,RainAbsolute,RainIntensity,Temperature,0.3582371449396586,0.12833385201451794
KineticEnergy,RainAccumulated,RainIntensity,Temperature,0.3582371449396586,0.12833385201451794
Humidity,RainAbsolute,RainAccumulated,RainRate,0.3562865098345976,0.1269400770901188
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,0.3562865098345975,0.12694007709011873
Humidity,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.3562865098345975,0.12694007709011873
Humidity,Pressure,RainAbsolute,RainAccumulated,0.356213440427481,0.12688801514118256
