Variable 1,Variable 2,Variable 3,Correlation (r),R²
SnowDepthIntensity,WeatherCode4680,WindSpeed,-0.09873578420551551,0.009748755082678126
WeatherCode4680,Pressure,WindSpeed,-0.09822764408882076,0.009648670063240043
RainIntensity,WeatherCode4680,WindSpeed,-0.09768062768118267,0.009541505024189831
WindDirection,ParticlesDetected,WindSpeed,-0.09755842865268179,0.009517647001180402
Humidity,WindDirection,Pressure,-0.09723978131031903,0.00945557506927867
RainIntensity,Humidity,WindDirection,-0.09720789098617336,0.009449374069979763
RadarReflectivity,WeatherCode4680,WindSpeed,-0.09615721555583978,0.009246210103452236
Temperature,WeatherCode4680,ParticlesDetected,-0.09554146033634398,0.009128170643201188
Temperature,WindDirection,ParticlesDetected,-0.09456483581947955,0.008942508173565122
RadarReflectivity,WindDirection,WindSpeed,-0.09433698857737867,0.008899467413848474
SnowDepthIntensity,RadarReflectivity,Pressure,-0.09347695838403065,0.0087379417487298
SnowDepthIntensity,WindDirection,ParticlesDetected,-0.09342138572286969,0.008727555310381201
SnowDepthIntensity,WeatherCode4680,ParticlesDetected,-0.09285808813260604,0.008622624531642831
WeatherCode4680,Pressure,ParticlesDetected,-0.09238088269434311,0.008534227487385982
SnowDepthIntensity,RadarReflectivity,RainIntensity,-0.09201740142553581,0.0084672021651082
RainIntensity,WeatherCode4680,ParticlesDetected,-0.09195855178876157,0.008456375247086343
RadarReflectivity,RainIntensity,Pressure,-0.09193853383989986,0.008452694004630413
WindDirection,Pressure,ParticlesDetected,-0.0918639729588394,0.008438989527782376
RainIntensity,WindDirection,ParticlesDetected,-0.09179963746013739,0.00842717343781266
RadarReflectivity,WeatherCode4680,ParticlesDetected,-0.09176344110069526,0.008420529122640769
RadarReflectivity,Temperature,WindDirection,-0.09133003718799074,0.00834117569275977
SnowDepthIntensity,Temperature,WeatherCode4680,-0.09073425804164059,0.00823270558236702
SnowDepthIntensity,RadarReflectivity,WindDirection,-0.09020278227504323,0.008136541930158853
Temperature,WeatherCode4680,Pressure,-0.08985390526800122,0.008073724291910937
RadarReflectivity,Temperature,WeatherCode4680,-0.0898465387942877,0.008072400533313444
RainIntensity,Temperature,WeatherCode4680,-0.08936891547608092,0.007986803053370895
RadarReflectivity,WindDirection,Pressure,-0.088593693713063,0.007848842565724018
RadarReflectivity,RainIntensity,WindDirection,-0.08853969517722579,0.00783927762207606
Temperature,WindDirection,WindSpeed,-0.08762288761135052,0.007677770433351365
SnowDepthIntensity,RadarReflectivity,WeatherCode4680,-0.08724370473180758,0.007611464015330824
SnowDepthIntensity,WeatherCode4680,Pressure,-0.0865414004524713,0.0074894139922749995
SnowDepthIntensity,WindDirection,WindSpeed,-0.08651798832375279,0.007485362303589024
RadarReflectivity,Humidity,RainAccumulated,0.08651253379279701,0.007484418503249845
RadarReflectivity,Humidity,RainAbsolute,0.08651253379279701,0.007484418503249845
RadarReflectivity,WeatherCode4680,Pressure,-0.08650009776922397,0.007482266914085306
RadarReflectivity,RainIntensity,WeatherCode4680,-0.086125337897282,0.0074175738279209985
SnowDepthIntensity,RainIntensity,WeatherCode4680,-0.08606667253641755,0.00740747212149093
RainIntensity,WeatherCode4680,Pressure,-0.0849161087237546,0.007210745520784512
WindDirection,Pressure,WindSpeed,-0.0845201979622287,0.007143663863574329
RainIntensity,WindDirection,WindSpeed,-0.08450632728618578,0.007141319351399947
SnowDepthIntensity,RainIntensity,Pressure,-0.08395360952723979,0.007048208552652248
SnowDepthIntensity,Temperature,WindDirection,-0.08367209433435985,0.007001019370298013
